Notif.date,Notification,Notification type,Functional Loc.,Equipments,Equipment Category,Description,Description Category,Main WorkCtr,Department,System status,Priority,Maintenance Days,Equipment Age (days),Predicted Maintenance Days
2024-02-14,150638889,G3,9010-011-BL-06-PT-601A,BL,Miscellaneous,PM JOB 9010-011-BL-06-PT-601A,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638890,G3,9010-011-BL-06-PT-601A,BL,Miscellaneous,PM JOB 9010-011-BL-06-PT-601A,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638891,G3,9010-011-BL-06-PT-601A,BL,Miscellaneous,PM JOB 9010-011-BL-06-PT-601A,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638892,G3,9010-011-BL-06-PT-601A,BL,Miscellaneous,PM JOB 9010-011-BL-06-PT-601A,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638893,G3,9010-011-BL-06-TCV-601,BL,Miscellaneous,PM JOB 9010-011-BL-06-TCV-601,general,011INST,Instrumentation,NOCO ORAS,-,22,308,22
2024-02-14,150638896,G3,9010-011-BL-06-UV604A,BL,Miscellaneous,PM JOB 9010-011-BL-06-UV604A,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638897,G3,9010-011-BL-06-UV603C,BL,Miscellaneous,PM JOB 9010-011-BL-06-UV603C,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638898,G3,9010-011-BL-06-UV603D,BL,Miscellaneous,PM JOB 9010-011-BL-06-UV603D,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638899,G3,9010-011-BL-06-UV606A,BL,Miscellaneous,PM JOB 9010-011-BL-06-UV606A,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638900,G3,9010-011-BL-06-UV606B,BL,Miscellaneous,PM JOB 9010-011-BL-06-UV606B,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638903,G3,9010-011-BL-06-UX-605C,BL,Miscellaneous,PM JOB 9010-011-BL-06-UX-605C,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638904,G3,9010-011-BL-06-UX-605D,BL,Miscellaneous,PM JOB 9010-011-BL-06-UX-605D,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638905,G3,9010-011-TG-03-TY-229,TG,Mechanical Equipment,PM JOB 9010-011-TG-03-TY-229,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638906,G3,9010-011-TG-03-TY-230,TG,Mechanical Equipment,PM JOB 9010-011-TG-03-TY-230,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638907,G3,9010-011-TG-03-LY- 4101A,TG,Mechanical Equipment,PM JOB 9010-011-TG-03-LY- 4101A,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638908,G3,9010-011-TG-03-LY-4101B,TG,Mechanical Equipment,PM JOB 9010-011-TG-03-LY- 4101B,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638909,G3,9010-011-TG-03-PY -232,TG,Mechanical Equipment,PM JOB 9010-011-TG-03-PY -232,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638910,G3,9010-011-TG-03-PY -5302A,TG,Mechanical Equipment,PM JOB 9010-011-TG-03-PY -5302A,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638911,G3,9010-011-TG-03-PY- 5302B,TG,Mechanical Equipment,PM JOB 9010-011-TG-03-PY -5302B,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638912,G3,9010-011-TG-03-PY-219,TG,Mechanical Equipment,PM JOB 9010-011-TG-03-PY-219,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638913,G3,9010-011-TG-03-ZI-331,TG,Mechanical Equipment,PM JOB 9010-011-TG-03-ZI-331,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638914,G3,9010-011-TG-03-SOV-1050,TG,Mechanical Equipment,PM JOB 9010-011-TG-03-SI3401B,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638915,G3,9010-011-TG-03-SOV-2221,TG,Mechanical Equipment,PM JOB 9010-011-TG-03-SOV-2221,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638916,G3,9010-011-TG-03-SOV-2222,TG,Mechanical Equipment,PM JOB 9010-011-TG-03-SOV-2222,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638923,G3,9010-011-TG-04-TY-230,TG,Mechanical Equipment,PM JOB 9010-011-TG-04-TY-230,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638924,G3,9010-011-TG-05-TY-4402,TG,Mechanical Equipment,PM JOB 9010-011-TG-05-TY-4402,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638925,G3,9010-011-TG-05-TY-4404,TG,Mechanical Equipment,PM JOB 9010-011-TG-05-TY-4404,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638926,G3,9010-011-TG-05-TY-4406,TG,Mechanical Equipment,PM JOB 9010-011-TG-05-TY-4406,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
2024-02-14,150638927,G3,9010-011-TG-04-PY -232,TG,Mechanical Equipment,PM JOB 9010-011-TG-04-PY -232,general,011INST,Instrumentation,NOCO ORAS,-,0,330,0
